"code_name";"eicat";"mechanisms";"proba"
"a.salig";0;"(1) Competition";0
"a.salig";0;"(12) Indirect impacts through interaction with other species";0
"a.salig";0;"(1) Competition";0
"a.salig";0;"(1) Competition; (9) Chemical impact on the ecosystem";0
"a.mearn";0;"(6) Poisoning/toxicity";0
"a.longi";0;"(9) Chemical impact on ecosystems";0
"a.dealb";0;"(9) Chemical impact on ecosystems";0
"a.dealb";0;"(9) Chemical impact on ecosystems";0
"a.salig";0;"(9) Chemical impact on ecosystems";0
"a.dealb";0;"(12) Indirect impacts through interaction with other species";0
"a.mearn";0;"(11) Structural impact on ecosystems";0
"a.mearn";0;"(9) Chemical impact on ecosystems";0
"a.mearn";0;"(9) Chemical impact on ecosystems";0
"a.mearn";0;"(6) Poisoning/toxicity";0
"a.dealb";0;"(6) Poisoning/toxicity";0
"a.longi";0;"(1) Competition; (9) Chemical impact on ecosystems";0
"a.melan";0;"(6) Poisoning/toxicity";0
"a.cyclo";0;"(6) Poisoning/toxicity";0
"a.cyclo";0;"(1) Competition; (9) Chemical impact on ecosystems; (11) Structural impact on ecosystems";0
"a.longi";0;"(9) Chemical impact on ecosystems";0
"a.salig";0;"(1) Competition; (9) Chemical impact on ecosystems";0
"a.longi";0;"(1) Competition; (9) Chemical impact on ecosystems";0
"a.melan";0;"(1) Competition";0
"a.mearn";0;"(1) Competition";0
"a.dealb";0;"(6) Poisoning/toxicity";0
"a.dealb";0;"(6) Poisoning/toxicity; (9) Chemical impact on ecosystems";0
"a.longi";0;"(9) Chemical impact on ecosystems";0
"a.dealb";0;"(12) Indirect impacts through interaction with other species";0
"a.longi";1;"(11) Structural impact on ecosystems";1,01
"a.longi";1;"(1) Competition; (9) Chemical impact on the ecosystem; (10) Physical impact on ecosystems; (11) Structural impact on ecosystems";1,01
"a.dealb";1;"(6) Poisoning/toxicity";1,46
"a.dealb";1;"(6) Toxicity/poisoning";1,46
"a.longi";1;"(9) Chemical impact on ecosystems; (12) Indirect impacts through interaction with other species";1,46
"a.melan";1;"(6) Poisoning/toxicity";1,46
"a.dealb";1;"(6) Poisoning/toxicity";1,46
"a.dealb";1;"(6) Poisoning/toxicity; (9) Chemical impact on the ecosystem";1,46
"a.dealb";1;"(6) Poisoning/toxicity";1,46
"a.longi";1;"(1) Competition";1,46
"a.melan";1;"(6) Poisoning/toxicity";1,46
"a.longi";1;"(6) Poisoning/toxicity";1,46
"a.mearn";1;"(6) Poisoning/toxicity; (9) Chemical impact on ecosystems";1,46
"a.salig";1;"(1) Competition; (10) Physical impact on ecosystems";1,46
"a.dealb";1;"(6) Poisoning/toxicity";1,46
"a.melan";1;"(9) Chemical impact on ecosystems; (12) Indirect impacts through interaction with other species";1,46
"a.dealb";1;"(6) Poisoning/toxicity";1,46
"a.melan";1;"(1) Competition; (6) Poisoning/toxicity";1,46
"a.elata";1;"(6) Poisoning/toxicity";1,46
"a.dealb";1;"(6) Poisoning/toxicity";1,46
"a.dealb";1;"(9) Chemical impact on ecosystems";1,46
"a.salic";1;"(1) Competition; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems; (11) Structural impact on ecosystems";1,46
"a.mearn";1;"(1) Competition; (9) Chemical impact on ecosystems";1,46
"a.mearn";1;"(6) Poisoning/toxicity";1,46
"a.salig";1;"(6) Poisoning/toxicity";1,46
"a.melan";1;"(6) Poisoning/toxicity";1,46
"a.mearn";1;"(6) Toxicity/poisoning";1,46
"a.longi";1;"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems; ";1,05
"a.longi";1;"(12) Indirect impacts through interaction with other species";1,05
"a.cyclo";1;"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems";1,05
"a.dealb";1;"(1) Competition; (6) Poisoning/toxicity; (9) Chemical impact on ecosystems, (10) Physical impact on ecosystems";1,05
"a.dealb";1;"(12) Indirect impacts through interaction with other species";1,05
"a.longi";1;"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems; ";1,05
"a.longi";1;"(11) Structural impact on ecosystems; (12) Indirect impacts through interaction with other species";1,05
"a.mearn";2;"(11) Structural impact on ecosystems";2
"a.longi";2;"(10) Physical impact on the ecosystem, (11) Structural impact on the ecosystem";2
"a.salig";2;"(11) Structural impact on ecosystems";2
"a.dealb";2;"(11) Structural impact on ecosystems";2
"a.mearn";2;"(11) Structural impact on ecosystems";2
"a.salig";2;"(11) Structural impact on ecosystems";2
"a.cyclo";2;"(11) Structural impact on ecosystems";2
"a.longi";2;"(1) Competition; (11) Structural impact on ecosystems; (12) Indirect impacts through interaction with other species";2
"a.cyclo";2;"(9) Chemical impact on ecosystems";2
"a.dealb";2;"(9) Chemical impact on ecosystems, (11) Structural impact on ecosystems";2
"a.longi";2;"(11) Structural impact on ecosystems";2
"a.melan";2;"(11) Structural impact on ecosystems";2
"a.cyclo";2;"(11) Structural impact on ecosystems";2
"a.longi";2;"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems; ";2
"a.salig";2;"(1) Competition; (9) Chemical impact on ecosystems; (11) Structural impact on ecosystems";2
"a.mearn";2;"(6) Poisoning/toxicity; (9) Chemical impact on ecosystems";2
"a.mearn";2;"(1) Competition; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems";2
"a.dealb";2;"(1) Competition";2
"a.salig";2;"(11) Structural impact on ecosystems";2
"a.mearn";2;"(1) Competition; (9) Chemical impact on ecosystems";2
"a.cyclo";2;"(11) Structural impact on ecosystems";2
"a.mearn";2;"(11) Structural impact on ecosystems";2
"a.decur";2;"(1) Competition; (11) Structural impact on ecosystems";2
"a.longi";2;"(10) Physical impact on the ecosystem, (11) Structural impact on the ecosystem";2
"a.dealb";2;"(1) Competition";2
"a.dealb";2;"(1) Competition; (9) Chemical impact on the ecosystem; (12) Interaction with other alien species";2
"a.mearn";2;"(11) Structural impact on ecosystems";2
"a.salig";2;"(1) Competition; (6) Poisoning/toxicity";2
"a.dealb";2;"(6) Poisoning/toxicity; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems";2
"a.longi";3;"(1) Competition";2,99
"a.dealb";3;"(1) Competition; (9) Chemical impact on ecosystems; ";2,99
"a.dealb";3;"(1) Competition; (6) Poisoning/toxicity; (9) Chemical impact on ecosystems";2,99
"a.salig";3;"(1) Competition; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems; (11) Structural impact on ecosystems";2,99
"a.dealb";3;"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems";2,99
"a.salig";3;"(11) Structural impact on ecosystems";2,99
"a.longi";3;"(1) Competition; (9) Chemical impact on ecosystems";2,99
"a.mearn";3;"(11) Structural impact on ecosystems";2,99
"a.longi";3;"(11) Structural impact on ecosystems";2,99
"a.mearn";3;"(1) Competition; (9) Chemical impact on ecosystems; (11) Structural impact on ecosystems";2,99
"a.mearn";3;"(1) Competition; (9) Chemical impact on ecosystems";2,99
"a.salig";3;"(1) Competition; (9) Chemical impact on ecosystems";2,99
"a.longi";3;"(1) Competition";2,99
"a.dealb";3;"(1) Competition; (11) Structural impact on ecosystems";2,99
"a.longi";3;"(1) Competition; (10) Physical impact on ecosystems; (11) Structural impact on ecosystems";2,99
"a.mearn";3;"(1) Competition; (10) Physical impact on ecosystems";2,99
"a.pycna";3;"(1) Competition; (6) Poisoning/toxicity";2,99
"a.melan";3;"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems";2,99
"a.longi";3;"(10) Physical impact on ecosystems; (11) Structural impact on ecosystems";2,99
"a.baile";3;"(1) Competition; (10) Physical impact on ecosystems";2,39
"a.longi";3;"(9) Chemical impact on ecosystems";2,39
"a.decur";3;"(1) Competition; (9) Chemical impact on ecosystems";2,39
"a.salig";3;"(12) Indirect impacts through interaction with other species";2,39
"a.salig";3;"(9) Chemical impact on ecosystems";2,39
"a.dealb";3;"(6)Poisoning/toxicity; (9) Chemical impact on ecosystems";2,39
"a.longi";3;"(9) Chemical impact on ecosystems";2,39
"a.mearn";3;"(12) Indirect impacts through interaction with other species";2,39
"a.mearn";3;"(9) Chemical impact on ecosystems";2,39
"a.dealb";3;"(9) Chemical impact on ecosystems";2,39
"a.dealb";3;"(1) Competition; (10) Physical impact on ecosystems";2,39
"a.mearn";3;"(1) Competition; (10) Physical impact on ecosystems";2,39
"a.mearn";3;"(9) Chemical impact on ecosystems";2,39
"a.longi";3;"(9) Chemical impact on ecosystems";2,39
"a.longi";3;"(12) Indirect impacts through interaction with other species";2,39
"a.longi";3;"(1) Competition; (10) Physical impact on ecosystems";2,94
"a.cyclo";3;"(1) Competition; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems";2,94
"a.longi";3;"(1) Competition; (11) Structural impact on ecosystems";2,94
"a.longi";3;"(1) Competition";2,94
"a.salig";3;"(1) Competition; (6) Poisoning/toxicity; (9) Chemical impact on ecosystems";2,94
"a.salig";3;"(1) Competition; (9) Chemical impact on the ecosystem";2,94
"a.salig";3;"(1) Competition; (10) Physical impact on ecosystems";2,94
"a.salig";3;"(1) Competition; (6) Poisoning/toxicity; (9) Chemical impact on the ecosystem; (10) Physical impact on ecosystems";2,94
"a.mearn";3;"(1) Competition; (6) Poisoning/toxicity";2,94
"a.longi";3;"(1) Competition; (10) Physical impact on ecosystems";2,94
"a.salig";3;"(1) Competition; (9) Chemical impact on ecosystems; (10) Physical impact on ecosystems";2,94
"a.salig";3;"(1) Competition";2,94
"a.dealb";3;"(1) Competition; (9) Chemical impact on ecosystems";2,94
