"code_name";"max_eicat";"mean_eicat";"sum_eicat";"max.sum_eicat";"w.mean_eicat";"w.e.mean_eicat"
"a.baile";3;3;3;6;3;1,08
"a.cyclo";3;1,5;12;11;1,63636363636364;0,8325
"a.dealb";3;1,46875;47;17;1,78571428571429;0,8990625
"a.decur";3;2,5;5;8;2,33333333333333;1,29
"a.elata";1;1;1;1;1;0,36
"a.longi";3;1,84848484848485;61;16;2,01388888888889;1,23818181818182
"a.mearn";3;1,73076923076923;45;18;2,08695652173913;1,04884615384615
"a.melan";3;1,11111111111111;10;10;1,46153846153846;0,58
"a.pycna";3;3;3;6;3;2,7
"a.salic";1;1;1;4;1;0,36
"a.salig";3;1,875;45;18;1,75438596491228;1,28
