"id";"SR"
"38";1
"39";2
"40";1
"41";1
"55";1
"56";1
"74";3
"94";4
"95";2
"112";1
"114";5
"115";5
"126";1
"129";4
"133";1
"135";1
"136";5
"137";2
"148";1
"149";2
"150";2
"151";3
"152";3
"175";4
"176";1
"177";1
"185";3
"186";3
"211";2
"212";3
"213";7
"214";4
"239";4
"240";4
"241";5
"242";5
"243";4
"244";2
"267";1
"268";3
"269";4
"270";3
"271";3
"272";4
"273";3
"274";4
"275";4
"276";6
"277";4
"278";4
"279";3
"302";1
"304";1
"306";1
"307";3
"308";6
"309";7
"310";5
"311";3
"313";3
"314";4
"315";3
"316";4
"317";5
"318";4
"319";5
"320";1
"321";1
"343";1
"344";1
"345";4
"346";3
"347";3
"348";4
"349";3
"350";5
"351";8
"352";9
"353";4
"354";3
"355";3
"356";3
"357";3
"358";4
"359";2
"360";3
"361";5
"362";1
"387";1
"391";1
"392";4
"393";8
"394";10
"395";9
"396";6
"397";4
"398";3
"399";4
"400";2
"401";5
"402";2
"403";3
"404";5
"405";4
"406";3
"429";2
"431";1
"432";1
"433";3
"434";6
"435";8
"436";5
"437";6
"438";5
"441";1
"442";4
"444";2
"445";3
"446";4
"447";5
"448";2
"474";1
"476";4
"477";3
"478";4
"479";7
"480";2
"485";2
"486";2
"487";4
"488";3
"514";1
"515";1
"516";1
"518";1
"520";1
"521";1
"523";3
"527";1
"530";1
"531";3
"532";2
"533";4
"534";2
"571";1
"573";1
"576";1
"577";1
"579";2
"580";1
"581";3
"582";3
"583";3
"584";2
"585";2
"586";1
"618";1
"629";2
"630";1
"632";5
"633";2
"634";2
"635";2
"636";3
"637";1
"638";1
"678";2
"679";2
"681";1
"683";1
"684";2
"685";2
"686";2
"687";2
"688";3
"689";5
"690";3
"691";3
"692";1
"728";1
"730";1
"731";1
"732";1
"733";1
"734";1
"735";1
"736";2
"737";2
"738";1
"740";1
"741";5
"742";3
"743";1
"744";1
"745";1
"746";1
"785";1
"786";2
"787";3
"789";2
"790";2
"791";3
"792";2
"793";3
"794";2
"797";1
"805";1
"814";1
"841";1
"842";2
"843";3
"844";3
"845";3
"846";3
"847";2
"848";1
"849";2
"850";1
"851";2
"853";2
"854";3
"855";2
"857";1
"861";1
"862";2
"900";1
"902";1
"903";4
"904";1
"905";2
"906";1
"907";3
"908";2
"909";2
"910";1
"912";2
"914";3
"915";2
"916";5
"917";2
"918";1
"919";1
"921";1
"964";2
"965";2
